id	name
12164	Информационная безопасность групповых мобильных робототехнических комплексов
345	Факторный анализ
21777	CAD Software
334	Методы машинного обучения
246	Однородные системы линейных уравнений
299	Интегрирование тригонометрических выражений
21741	Пищевая химия
274	Теория пределов
21848	Маркетинговые инструменты
346	Метод снижения размерности выборки
296	Неопределенный интеграл
309	Несобственные интегралы
291	Дифференциальное исчисление функции нескольких переменных
21791	Фотовольтаика
295	Интегрирование функции одной переменной
308	Вычисление определенного интеграла
292	Функция нескольких переменных
267	Приведение уравнения поверхности второго порядка к канонической форме
6144	Методы изготовления объемных наноструктрированных материалов
307	Определенный интеграл
21858	Design of optical instruments
281	Вычисление пределов
303	Дифференциальные уравнения высших порядков
270	Евклидово пространство
289	Свойства дифференцируемых функций на отрезке
21866	Определение цели исследования в области химической кинетики
22908	Measurement error
306	Определенные интегралы
21868	Группы Ли и алгебры Ли
353	Вероятность
21796	Оптика
283	Исследование функции на непрерывность и разрыв
302	Интегрируемые дифференциальные уравнения 1-го порядка
342	Кластеризация
23057	Кинематическая схема
23093	TV video signal
21745	Управление инвестициями
339	Методы классификации
288	Правила дифференцирования функций
21756	Quantum physics
14721	Оптимизация структуры материалов
23143	Fundamentals of optics
355	Элементарная теория вероятностей
22909	Ability to implement a confocal microscope corrected for infinity
397	Основные выборочные оценки
5967	Нормативно-методическое обеспечение защиты от несанционированного доступа к информации
21792	Фотовольтаические технологии
350	Случайное событие
21849	Импульсные последовательности и методы физического контрастирования в МРТ
2065	Технологическая цепочка обработки и движения документов
412	Инструменты первичной обработки данных
11606	Разработка технологической инструкции на производство пищевых продуктов
366	Плотность вероятности случайной величины
432	Сетевые технологии
21778	Образование каустической поверхности
438	Технологии цифровой экономики
420	Искусственный интеллект
9053	Типовой состав системы пожарной сигнализации
21859	Optical control
377	Коэффициенты корреляции
444	Технологии дополненной реальности
392	Теорема Колмогорова
430	Операционные системы
407	Метод максимального правдоподобия
406	Метод моментов
419	Методы анализа данных
365	Непрерывные случайные величины
359	Схема Бернулли
325	Закон больших чисел
356	Методы вычисления вероятностей
367	Математическое ожидание и дисперсия непрерывной случайной величины
358	Формула Байеса
465	Указатели
372	Системы случайных величин
335	Обучение с учителем
23058	Выбор электродвигателя по мощности привода
409	﻿Хранение и обработка данных
416	NoSQL системы хранения данных
363	Функция распределения
375	Условные математические ожидания
401	Дисперсия
417	Виды NoSQL хранилищ
461	Классы
357	Формула полной вероятности
400	Математическое ожидание
399	Доверительные интервалы
337	Обучение с подкреплением
21797	Комплексное исчисление
13116	Социологический релятивизм
23094	Люминесцентные сенсоры
322	Классическая схема вычисления вероятностей
362	Дискретные случайные величины
413	Визуализация данных
433	Информационная безопасность
437	Цифровая этика
21757	Термоэлектрические преобразователи энергии
23188	Расчет энергетической эффективности термотрансформаторов
14744	Массопередачи в системах со свободной границей раздела фаз
574	Динамическое программирование
23059	Организационные изменения
19814	навыки решения следующих практических задач: находить результат выполнения математических выражений на основе операций над заданными четкими и нечеткими множествами; составлять таблицу истинности заданной Булевой функции; преобразовывать заданную в КНФ Булеву функцию в СДНФ; вычислять расстояния, меры и индексы нечеткости для заданных множеств; находить результат композиции двух бинарных отношений нечетких множеств; исследовать транзитивность заданного специального бинарного нечеткого отношения
411	Хранение данных
22910	Ability to implement spatial filtering in a confocal microscope
582	ИКТ-сектор
23130	Фотоника и оптоинформатика
492	Приоритетная очередь
435	Технологии интернета и Web
434	Квантовые технологии
21788	Техника и технологии сжиженного природного газа
436	Человек и цифровое общество
21860	Машинное обучение в физических задачах
23172	Методы построения самоорганизующихся систем
21779	Законы отражения и преломления электромагнитной волны на поверхности раздела двух сред
427	﻿Информатика
21798	Спектральный анализ
562	Рекурсивные функции
23196	Сенсорные системы
479	Оценка алгоритмов
460	Программирование
580	Бизнес-модели основных секторов инновационной экономики
446	Социальные сети
439	Культура Интернет-коммуникаций
23095	Волноводные сенсоры
23195	Устройство светодиода
426	Интернет вещей
21850	Круговые ускорители
21869	Математическое описание электромагнитных волн
486	Элементарные структуры данных
581	Бизнес-модели
11625	Миграция и трансформация веществзагрязнителей
441	Цифровое образование
421	Методы обработки изображений
442	Цифровые гуманитарные науки
21139	Законодательство о бухгалтерском (финансовом) учете
496	Хэш-таблицы
443	Технологии виртуальной реальности
510	Деревья
424	Математические пакеты
485	Эффективность алгоритмов
429	Архитектура ЭВМ
23167	Поглощающие среды
21994	Методы определения геометрических параметров и топологии наноструктур
473	Алгоритмы и структуры данных
23144	X-ray diffraction
423	Интеллектуальный анализ текстов
586	Cleantech
536	Понятие алгоритма
561	Рекурсивные алгоритмы
22497	Optical Coatings
619	Виды и функции команд
617	Эффективная команда
630	Коммуникативные барьеры
558	NP-полные задачи
564	Дерево рекурсивных вызовов
21870	Технология нановолокон
588	Creative Industries
589	Emerging Technologies
21746	Физика наноматериалов
535	Алгоритмы
591	Инновационная экономика
604	Креативное мышление
23096	Quantum Radiophysics
620	Эмоциональный интеллект
23060	Управление изменениями на основе внедрения инноваций
623	Лидерство
662	История науки
23145	Introduction to crystallography
594	Работа с проектами
23197	Sensor systems
23168	Methods of controlling pollution of the natural environment
23173	Методы выявления и устранения конфликтных ситуаций в среде автономных агентов
23164	Физика преломления, поглощения и усиления света в веществе
585	Life Sciences
593	Концепция бизнеса
23189	Проектирование аппаратов термотрансформаторов
592	Технологическое предпринимательство
21758	Прикладная биохимия и биотехнологии
15399	Встраиваемые МП устройства
21780	Теория Ми
22911	Ability to implement Fourier filtering in a confocal microscope
584	Транспорт
21851	Линейные ускорители
21799	Лазерная техника
614	Методы ведения переговоров
615	Навыки ведения переговоров
610	Еlevator pitch
713	Современные языки web-разработки
602	Презентация продукта
607	Навыки публичных выступлений
21759	Applied biochemistry and biotechnologies
647	Межкультурная коммуникация
21781	Теория оптических сил
669	Современная цивилизация
660	Укрепление современного Российского государства
6698	﻿Экономика программной инженерии
598	Кастомизация объектов
599	Кастомизация идей
634	Формирование культур Западной Европы и России
596	Исследование пользователя
651	Становление государственности
638	Языческая Русь
622	Ведение переговоров
652	Государственная система
654	Типы власти
666	Роль технологий в формировании цивилизаций
667	Роль технологий в развитии цивилизаций
668	Влияние технологий на эволюцию
663	История техники
671	Техника в истории цивилизации
612	Stories в Instagram
625	Мотивация
555	Теория сложности вычислений
606	Публичные выступления в VUCA-мире
661	Перспективы развития России
712	Основы веб-программирования
22912	Principles of optical transmission, reflection, absorption spectroscopy
640	История западноевропейской культуры
636	Связи культур Западной Европы и России
21747	Condensed matter physics
643	Искусство в историческом контексте
642	Культура в историческом контексте
658	Единая историческая перспектива
601	Презентация идеи
641	Русская культура
595	Креативные технологии
618	Значимость командной работы в современном мире
17381	Квазичастицы
23061	Интегрированный маркетинг
637	Античность
21800	Моделирование в Wolfram Mathematica
645	Стратегии визуальной коммуникации
648	Культурные процессы Западной Европы
664	История технологий
603	Презентация проекта
597	Поисковое прототипирование
611	Короткое собеседование через skype
621	Конструктивная обратная связь
21852	С++ и UNIX системы
600	Выработка решений
609	Выступление в XХI веке
629	Модели коммуникации
542	Оценки качества алгоритма
657	Виды механизмов управления
21871	Spectral analysis
23097	Design of optical sensors
633	История
23165	Модели эффективной среды
23169	Технологии анализа интерференционных покрытий
724	Обработка файлов
23190	элементная база оптических систем связи
653	Взаимодействие российских государственных структур
608	Презентация проекта
665	Влияние технологий на человечество
632	Работа с манипуляторами
690	Перспективы современного международного развития
691	Международные отношения России
692	Реалии современного международного развития России
693	Роль России в мировом сообществе
757	Инфологическое проектирование
707	Продолжение линейного оператора по непрерывности
786	Архитектура СУБД
688	Россия в постсоветскую эпоху
689	Проблемы современного международного развития
22913	Principles of optical photoluminescence spectroscopy
21748	Системы автоматического управления
718	Фреймворки PHP
21801	Системы компьютерной алгебры
21853	Результатом освоения дисциплины должно стать формирование у обучающихся представлений о процессах речевосприятия и речеобразовании, функциях, речи как системообразующем факторе поведения;  способности свободно ориентироваться в потоке современной научной информации на русском и английском языке; профессионально представлять в форме научных публикаций и докладов результаты научно-исследовательских и производственно-технологических работ в области речевых технологий
785	Механизмы доступа к данным
19828	навыки решения следующих практических задач: поиск  наибольших полных (пустых) подграфов в графе с помощью алгоритма  Брона-Кербоша; минимальная раскраска вершин графа жадным алгоритмом; поиск совершенного паросочетания во взвешенном двудольном графе венгерским методом; установление изоморфизма двух графов на основе метода свободной и зависимой интеграции структурных различий;  построения плоской укладки планарного графа с помощью гамма-алгоритма; поиск опорного плана транспортной задачи методом северо-западного угла и методом минимальной стоимости; поиск оптимального плана транспортной задачи методом потенциалов
21760	Микробиология
23062	Комплекс управленческих решений по внедрению системы интегрированного маркетинга
716	HTML
729	Данные
23098	Plasmonic sensors
23166	Анализ распространения электромагнитного излучения в анизотропных средах и в градиентных средах
23170	Технология создания сверхгладких поверхностей
23174	Основы математической логики и теории алгоритмов
745	Типы данных SQL
23191	Экологический дизайн
13940	Оценка деятельности в профессиональной области
694	Философия
21872	Crystallography
23198	Tensor calculus and analysis
755	Элементы проектирования баз данных
686	М.С. Горбачёв и перестройка
684	В.И. Ленин и НЭП
683	Александр II и «Великие реформы»
695	Специфика философии
678	Исторические деятели
682	Петр I и его преобразования
681	Иван IV и опричнина
680	Реформы в истории России
679	Реформы исторических деятелей
727	Модели данных
672	Истории I мировой войны
673	История II мировой войны
677	Трактовки событий ХХ столетия
758	Методы инфологического проектирования
759	"Метод ""сущность-связь"""
738	Реляционная модель данных (РМД)
717	CSS
736	Операции над данными
702	Гильбертово пространство
670	Научно-технический прогресс
21873	Birefringence
21761	Digital electronics
767	Классификация СУБД
21782	Процессы и аппараты защиты окружающей среды
23063	Архитектура сетевого стека
23099	Luminescent sensors
828	Экспертные системы
809	Реляционная модель БД
726	Базы данных
21802	Евклидова геометрия
21854	После прослушивания курса обучающийся должен обладать знаниями о системности речевого поведения и роли, которую играет речь в организации целенаправленного поведения, о патологических нарушениях речевой деятельности и причинах их возникновения.
775	Безопасность данных
20677	Знание  базовых понятий физиологических механизмов речеобразования и речевосприятия, теории цифровой обработки сигналов, теории распознавания и синтеза речи; предмета и основных методов цифровой обработки речевых сигналов, математического моделирования и теории принятия решений; основных методов анализа речевых сигналов во временной, частотной, модуляционной и спектрально-временной областях
23171	Optical spectroscopy of nanostructures: absorption and luminescence methods, Raman scattering
827	Инженерия знаний
847	Нечеткие системы
833	Модели представления знаний
835	Семантические сети
23175	Характеризация основных параметров волноводных структур
746	Основные команды SQL
23192	Предприятие в экономической системе
779	Хранилища данных
22914	Principles of optical Raman spectroscopy
23199	Elements of the linear theory of elasticity
21283	Методы обучения «с учителем», архитектуры глубоких нейронных сетей
867	Методы построения
796	Системы баз данных
804	Объектная модель данных
770	Организация интерфейса к БД
777	Обеспечение целостности данных
774	Обеспечение защиты данных в БД
818	Администрирование реляционных БД
766	Назначение СУБД
869	Методы отбора признаков
768	Основные функции СУБД
826	Интеллектуальные технические системы
772	Технологии доступа к базе данных
824	Распределенные БД
21874	Physics of Thin Films
21762	Применение на практике терминологического базиса аффективных вычислений
879	Метод наименьших квадратов (МНК)
834	Продукционные системы
916	Кибербезопасность
23225	Программирование MatLab
23064	Принципы создания современных датчиков
23100	Waveguide sensors
23226	Методология scoping review
23227	Оценка качества текста
878	Дилемма смещения-разброса
22147	Optical methods for studying the dynamics of electronic excitations in nanostructures: synchronous detection method, time-correlated single photon counting, and streak camera
862	Анализ данных
23176	Физические эффекты и явления, лежащие в основе работы пассивных и активных планарных волноводных элементов и устройств
861	Статистика
23193	Общественное производство
23233	Matrices
854	Интеллектуальный анализ данных
898	Градиентный бустинг на решающих деревьях
23200	Теория предела в метрическом пространстве
23211	Archaeometry
23236	примеры расчёта простейших элементов систем оптической связи
23213	Физические явления, динамические системы, способы их описания
23214	Методы квалиметрического анализа для динамических систем
1758	Программируемые логические интегральные схемы (ПЛИС)
21803	Менеджмент
938	UML
1533	Telnet
839	Логическое программирование
883	Регуляризация
22915	Experiments on optical spectroscopy
1470	Диаграмма деятельности
864	Классификация методов машинного обучения
23217	Текстовые и графические редакторы
908	Ограниченные машины Больцмана
872	Кросс-валидация
859	Алгоритмы обучения нейронной сети
23237	Mathematical modeling of processes
23224	Функции принадлежности
863	Классификация моделей
23240	NoSQL DBMS types
858	Обучение нейронных сетей
23241	Современные методы эпитаксиального синтеза тонкопленочных материалов и наноструктур
915	Рекуррентные нейронные сети
912	Глубокое обучение
23253	Устойчивость вычислительных схем
20806	Принцип работы интерферометрических волоконных акустооптических сенсоров различных типов
23254	Методы поиска минимума функций нескольких переменных
21855	Численные методы.
23246	Термодинамические основы обратных циклов
857	Задачи нейронных сетей
9379	Методы математического моделирования тепломассообменных процессов
761	Логическое проектирование БД
11823	Дифракционная теория формирования изображения
933	Методы и средства программного обеспечения
3004	Электрические цепи переменного синусоидального тока
943	Системное тестирование ПО
977	Беспроводные сети
941	Модульное тестирование ПО
937	Анализ рисков разработки ПО
882	Переобучение
944	Анализ производительности ПО и систем
936	Управление требованиями
926	Вирусология
935	Подходы и методы разработки ПО
956	Big Data
23101	навыки численного решения математических задач,
946	Профилирование программных систем
968	Обеспечение безопасности при доступе к данным
959	Разведочный анализ данных
960	BI-технологии
21763	Нарративный дизайн
1008	Сегментирование рынка
952	Удаленный доступ
21875	Nanoplasmonics
949	Операционная система Linux
15213	Техносфера
954	Современные инструменты анализа данных
947	Unix/Linux системы в инфокоммуникациях
948	Свободное программное обеспечение
975	Исполнительные устройства
953	Разработка приложений
23177	Физические эффекты и явления, лежащие в основе работы пассивных и активных оптических волокон
972	Киберфизические системы
976	Облачные вычисления
992	Дифференциальное исчисление
970	Создание простых модульных программ на языке Python
21804	Психология
902	Перцептрон Розенблатта
981	Системы управления
23065	Тензорезистор
955	Аналитика данных
957	Data Science
1015	Процессы лазерной обработки материалов
23194	Рыночные структуры
930	Технические средства защиты информации
21749	Технологии и системы преобразования энергии
928	Сетевые протоколы безопасности
988	Устойчивость динамических систем
940	Средства и методы автоматизированной сборки
918	Аутентификация пользователей
961	Закономерности развития процессов
22916	Structure and principles of operation of a scanning electron microscope
23238	Organic Chemistry
1003	Инновационный маркетинг
969	Язык программирования Python
301	Обыкновенные дифференциальные уравнения
942	Интеграционное тестирование ПО
934	Жизненный цикл ПО
973	Промышленная автоматизация
939	Средства и методы контроля изменений
951	Сетевые функции в Linux
978	Протоколы передачи данных
23201	Числовая последовательность
23212	Дизайн интерфейсов
23218	Thermal decontamination
23215	Археометрия
23228	Эффективное объяснение
914	Сверточные нейронные сети
7808	Импульсный режим генерации полупроводниковых лазеров
23234	Approximate Methods
993	Интегральное исчисление
23242	Полупроводниковые материалы и их функциональные применения
23247	Методы оценки эффективности информатизации
894	Метод опорных векторов (SVM)
23250	Метод Галёркина
23252	Стеклообразное состояние вещества
964	Кластерный анализ
1059	Криогенные технологии
1029	Суточные энерготраты человека
1069	Низкотемпературные технологии в электроэнергетике
15205	Экологические системы как объект правового регулирования
994	Комплексные числа
21876	Physics of semiconductor nanostructures
1035	Пищевое поведение человека
1043	Персонифицированная диета
1037	Безопасность сырья и пищевых продуктов
1028	Физиологические нормы потребления
987	Частотные характеристики систем
1001	Регулирование технологий
1023	Оптические поля высокой когерентности
1042	Инновационные ингредиенты в пищевых технологиях
1033	Взаимосвязь питания и здоровья человека
23229	Проектирование текста в интерфейсе
1036	Поддержание здоровья
1047	Физика
1026	Науки о жизни
1081	Цифровая культура
23102	Магнитнорезонансная томография
1055	Технологии сжиженного природного газа
23235	Fourier Transform
23251	Зонная структура графена
19705	Basic knowledge of statistics
21805	Гидродинамика многофазных потоков
1006	Методы маркетингового анализа
1022	Волновая оптика
23202	Дифференциальное исчисление функции вещественного аргумента
1012	Маркетинг инноваций
1032	Теории и концепции питания
1016	Лазерное технологическое оборудование
1010	Элементы маркетинг-микса
1041	Инновационные технологии
23243	Постростовая обработка наногетеростуктур
23248	Одноступенчатые холодильные машины
655	Типы государственного устройства
1080	Математический анализ
1038	Пути попадания вредных веществ в пищевые продукты
1052	Тепловые насосы
1056	Сжижение и разделение воздуха
23219	Методы получения, обработки, хранения и представления научной информации
1076	Язык программирования С/С++
23178	Регуляторы для линейных дискретных динамических систем
23066	SQUID
1005	Маркетинговые исследования
23239	Supramolecular chemistry
1021	Геометрическая оптика
990	Пропорционально-интегрально-дифференциальный регулятор
23255	Реализация изученных численных методов на языке программирования Python
1004	Современные концепции маркетинга
983	Математические модели технических систем
1007	Модели маркетингового анализа
1077	Информационные системы и технологии
1045	Обнаружение фальсификации пищевой продукции
986	Временные характеристики систем управления
989	Точностные свойства систем управления
1014	Лазерные технологические системы
991	Модальное управление
1053	Кондиционирование транспортных средств
1048	Низкотемпературная техника
21877	Structure and physical properties of nematic liquid crystals
1111	Уровень машинных команд
23067	Термопара
1095	Первые вычислительные системы
1097	Классическая Принстонская архитектура
1068	Низкотемпературные технологии в строительстве
1074	Низкотемпературная экология
1149	Метакомпьютинг
1104	Классификация вычислительных систем
1105	Уровни параллелизации при вычислениях
1108	Конвейерность
1109	Стековая машина
1112	Уровень микрокоманд
23103	Принцип работы магнитнорезонансной томографии
1122	Организация аппаратного стека
